estructura,operacion,n,escenario,tiempo_ms
ConjuntoLista,agregar,100,aleatorio,0.008245
ConjuntoBST,agregar,100,aleatorio,0.003788
ConjuntoAVL,agregar,100,aleatorio,0.007644
ConjuntoLista,pertenece,100,aleatorio,0.00544
ConjuntoBST,pertenece,100,aleatorio,0.001492
ConjuntoAVL,pertenece,100,aleatorio,0.001082
ConjuntoLista,unionCon,100,aleatorio,0.011551
ConjuntoBST,unionCon,100,aleatorio,0.005931
ConjuntoAVL,unionCon,100,aleatorio,0.006232
ConjuntoLista,agregar,500,aleatorio,0.134034
ConjuntoBST,agregar,500,aleatorio,0.022653
ConjuntoAVL,agregar,500,aleatorio,0.041869
ConjuntoLista,pertenece,500,aleatorio,0.126368
ConjuntoBST,pertenece,500,aleatorio,0.009818
ConjuntoAVL,pertenece,500,aleatorio,0.006072
ConjuntoLista,unionCon,500,aleatorio,0.245373
ConjuntoBST,unionCon,500,aleatorio,0.080713
ConjuntoAVL,unionCon,500,aleatorio,0.027732
ConjuntoLista,agregar,1000,aleatorio,0.513329
ConjuntoBST,agregar,1000,aleatorio,0.049944
ConjuntoAVL,agregar,1000,aleatorio,0.082406
ConjuntoLista,pertenece,1000,aleatorio,0.543186
ConjuntoBST,pertenece,1000,aleatorio,0.021691
ConjuntoAVL,pertenece,1000,aleatorio,0.013956
ConjuntoLista,unionCon,1000,aleatorio,1.14957
ConjuntoBST,unionCon,1000,aleatorio,0.275009
ConjuntoAVL,unionCon,1000,aleatorio,0.048752
ConjuntoLista,agregar,5000,aleatorio,14.4465
ConjuntoBST,agregar,5000,aleatorio,0.320915
ConjuntoAVL,agregar,5000,aleatorio,0.559366
ConjuntoLista,pertenece,5000,aleatorio,12.6112
ConjuntoBST,pertenece,5000,aleatorio,0.155123
ConjuntoAVL,pertenece,5000,aleatorio,0.098706
ConjuntoLista,unionCon,5000,aleatorio,21.2259
ConjuntoBST,unionCon,5000,aleatorio,5.73892
ConjuntoAVL,unionCon,5000,aleatorio,0.250132
ConjuntoLista,agregar,10000,aleatorio,41.4485
ConjuntoBST,agregar,10000,aleatorio,0.61988
ConjuntoAVL,agregar,10000,aleatorio,0.922501
ConjuntoLista,pertenece,10000,aleatorio,41.4539
ConjuntoBST,pertenece,10000,aleatorio,0.325755
ConjuntoAVL,pertenece,10000,aleatorio,0.201901
ConjuntoLista,unionCon,10000,aleatorio,80.5772
ConjuntoBST,unionCon,10000,aleatorio,22.8148
ConjuntoAVL,unionCon,10000,aleatorio,0.589213
ConjuntoLista,agregar,50000,aleatorio,1058.44
ConjuntoBST,agregar,50000,aleatorio,4.8536
ConjuntoAVL,agregar,50000,aleatorio,6.99203
ConjuntoLista,pertenece,50000,aleatorio,1048.5
ConjuntoBST,pertenece,50000,aleatorio,2.68557
ConjuntoAVL,pertenece,50000,aleatorio,1.86275
ConjuntoLista,unionCon,50000,aleatorio,2037.84
ConjuntoBST,unionCon,50000,aleatorio,670.576
ConjuntoAVL,unionCon,50000,aleatorio,3.76
ConjuntoLista,agregar,100,ordenado,0.006502
ConjuntoBST,agregar,100,ordenado,0.008456
ConjuntoAVL,agregar,100,ordenado,0.003046
ConjuntoLista,pertenece,100,ordenado,0.004408
ConjuntoBST,pertenece,100,ordenado,0.006372
ConjuntoAVL,pertenece,100,ordenado,0.000631
ConjuntoLista,agregar,500,ordenado,0.105138
ConjuntoBST,agregar,500,ordenado,0.192724
ConjuntoAVL,agregar,500,ordenado,0.014126
ConjuntoLista,pertenece,500,ordenado,0.099317
ConjuntoBST,pertenece,500,ordenado,0.14805
ConjuntoAVL,pertenece,500,ordenado,0.002054
ConjuntoLista,agregar,1000,ordenado,0.422527
ConjuntoBST,agregar,1000,ordenado,0.788989
ConjuntoAVL,agregar,1000,ordenado,0.029837
ConjuntoLista,pertenece,1000,ordenado,0.408801
ConjuntoBST,pertenece,1000,ordenado,0.625411
ConjuntoAVL,pertenece,1000,ordenado,0.004539
ConjuntoLista,agregar,5000,ordenado,10.4598
ConjuntoBST,agregar,5000,ordenado,23.6149
ConjuntoAVL,agregar,5000,ordenado,0.171324
ConjuntoLista,pertenece,5000,ordenado,10.0654
ConjuntoBST,pertenece,5000,ordenado,19.6337
ConjuntoAVL,pertenece,5000,ordenado,0.029125
ConjuntoLista,agregar,10000,ordenado,41.4354
ConjuntoBST,agregar,10000,ordenado,105.111
ConjuntoAVL,agregar,10000,ordenado,0.336786
ConjuntoLista,pertenece,10000,ordenado,41.0906
ConjuntoBST,pertenece,10000,ordenado,82.8191
ConjuntoAVL,pertenece,10000,ordenado,0.066666
